Name,SaxoId,WpId,Boten
3547830349130007628,20203276,1497,"Knackebøt,Heren Talenten8,Sløøtwater,Gøalriggers,Prøwst,Brøthers in Arms,DTalenten8,Licht Getalenteerd,Middengroep Lichte Dames 2017,VAMØS,Røy en Nina"
-2626123196493367878,20203216,1339,"Titønic,Tøtale Escalatie,Titvanger,Søbtiel,Jon&Juul,Nog steeds Önderweg,Önderweg,Krøkø,Alweer,Middengroep Dames"
7068259973344001000,20203770,1792,Bøtsbootje
8740120345231716465,20203745,1764,"Sombrerøw,DamesTopC4+"
4283362076420212758,20203920,1948,"HTalenten8,LIL BØØT,Eerstejaars Licht 2017,HTal8+ '17,Oud Licht,Oudlicht"
7779222334068002322,20203577,1691,"DCl8+,Licht Getalenteerd,Eerstejaars Lichte Dames 2017,Middengroep Lichte Dames,Dames Project 8+,Ølympils,Dames Talenten 4*"
9220836265519377055,20122012,490,"#YOCO 2.0,MZZ,HCl8: #YOCO,Soaking wet,Met Zwembandjes,Clubacht Heren 2015,Paddling Pals,Brøthers in Arms,Middengrøep Gayns,Iets met een ø,Niet op gewicht,Oud Licht,Ouderejaars Heren"
-4288421037390560411,20203582,1608,"Sløøtwater,Tøtale Escalatie,Eau De Vier,Licht Getalenteerd,Les Désølées,Escalerende Compokasten,Escalatie 17,Søbtiel,Gøudvis,Head Mixed4*,DTal4* 17,DCl8+,VAMØS,Krøkø,Alweer,DCl4*,Roy Koelman,Middengroep Lichte Dames "
-6463875488814228537,20072014,89,
8181689868171873328,20204009,2037,"LIL BØØT,Eerstejaars Licht 2017,Oud Licht,Eerstejaars Licht"
2827245949382414718,19992072,35,"Oude vier 2014,Middengroep Zwaar 2015"
7241894619914927315,19962010,29,
-4388236309011762949,20121034,474,"Bibendøm,Eerstejaars Dames 2014,Middengroep Dames 2015,Eerstejaars Dames 2016,Eerstejaars Dames 2017,Middengroep Dames,Ouderejaars Dames"
-18321061975725666,20203326,1485,"DCl8+,CompoCie-8,DTopC4+,Gladde Bøys,Ønvierwacht,Nog steeds Önderweg,Önderweg,Heren Project 8+ (TopCv\'acht),Eerstejaars Dames"
1213519512483840585,20203718,1733,"Eerstejaars Zwaar 2016,Middengroep Zwaar 2017,Mulder,Ouderejaars Zwaar,Dames Talenten 8+,Ouderejaars Heren,Oude Vier,Søwiesø,Roy Koelman"
291913211284787255,20203212,1351,"Testøsterown,Heren Talenten8,HCl8+,Onskølldig,Herenclubacht,Møartens Angels,Row your Goat"
8111458694632435807,20203325,1330,"Eerstejaars Zwaar 2015,Titvanger,Damesclubacht,Ønvierwacht,Eerstejaars Licht,Oudlicht"
-1088637813831579412,20203687,1701,"Bøøtschap!,HTalenten8,Eerstejaars Licht 2017,Ønvøldøende,Calimerøw,Oud Licht,Eerstejaars Zwaar,Middengroep Zwaar"
7252718442909968550,20082224,153,"Middengroep Dames 2015,Topgroep 2015"
1695144851941723230,20203800,1827,"Absølut,Ødins øl,VAMØS,Twørk,Roy Koelman"
-3431803464171958652,20203694,1709,Walhalla
-5199406695916988076,20203574,1812,"Bøøtschap!,Eerstejaars Zwaar 2017,Ønvøldøende,Calimerøw,Middengroep Zwaar,(on)Vøldøende"
-7873088608985071425,20203858,1896,"Appøtus,Prøwst,Blikken en bløzen,HCl8+,Dames Talenten 4*,Eerstejaars Licht,Oud Licht,Oudlicht"
4920900289713304160,20203645,1654,"Absølut,Ødins øl"
-8174336850126255122,19893004,25,
-2300293106730872605,20203740,1758,"HCl8+,Eerstejaars Licht 2017,Head Mixed4*,Oud Licht,Heren Talenten 8+,Eerstejaars Licht,Verløren Jøngens,Eerstejaars Zwaar,Oudlicht"
3651152230243010378,20203867,1907,"Sombrerøw,Eerstejaars Lichte Dames 2017,Dames Talenten 4*,Eerstejaars Lichte Dames,Sieske Boers"
-7329951878772995017,20203399,1217,"Clubacht Dames 2015,Sloepsløeries,Heren Talenten8,Eerstejaars Zwaar 2016,Middengroep Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren,Oude Vier"
4753953115661972902,19913010,1125,
-3499412686385506543,20203593,1752,"Eerstejaars Licht 2016,HerenTopC4+,Wøest,Middengrøep Gayns,DTopC4+,Gøande,Niet op gewicht,HCL8+,Heren Clubacht"
5432822247859602357,20123067,722,"Middengroep Zwaar 2014,Droge Tosti's ,Bootje Warm Vlees,Middengroep Zwaar 2015,Sloepsløeries,Adrien,Oude Vier 2015,Ouderejaars Zwaar 2016,Eau De Vier,Middengroep Zwaar 2017,Clubsandwich,HTal8+ '17,Middengroep Zwaar"
-8806141437471442054,20072076,96,Eerstejaars Licht 2013
6051978055063256383,20062190,82,Topgroep 2015
-4415554737957839242,20203527,1542,"Jalapeñøs,JAN.,Ønveilig"
-2706338886050548231,20203952,1980,"HTalenten8,LIL BØØT,Eerstejaars Licht 2017,Oud Licht,Oudlicht"
-4680614714433565301,20203832,1865,"Eerstejaars Dames 2016,Middengroep Dames 2017,Ouderejaars Dames,Førstemannen,Desbøøt voor de smaak,Vinø,Vergeten støømuil,Vergeten Støømuil 2.0"
-6642978393728151722,20102094,275,"Eerstejaars Dames 2011,Middengroep Dames 2012,Schwung,Eerstejaars Zwaar 2014,Middengroep Dames 2015,Oudlicht 2013,Ouderejaars Dames 2016,Middengroep Dames 2017,Ouderejaars Dames,Maddie en Marjo"
7611379807519237114,20203944,1972,"DTalenten8,Haringdrøøm,Licht Getalenteerd,Les Désølées,Jip&Janneke,Knettâh,Head Mixed4*,DTal4* 17,DCl8+,Eerstejaars Dames,DubbelTweeling,Eerstejaars Lichte Dames,Sløøpkøgel,Middengroep Lichte Dames "
-2112123513684005390,19982139,32,
6364953003811141341,20203152,1401,"Cupibøøt,Dames Talenten 8,DCl8+,Eerstejaars Dames 2017,Middengroep Dames,Bløb,Dames Talenten 8+,Gladde Bøys ,Heren Project 8+ (TopCv\'acht),Alweer,Dames Clubacht"
4400269116460647083,20203158,1244,"Bøatways,Tømatøs,Straight Outta Compo,LLØKS,Jøt & Jøl (2.0)"
-5791752094914192236,20203633,1639,"Eerstejaars Zwaar 2016,Middengroep Zwaar 2017,Middengroep Zwaar"
-2281565001989211492,20203153,1263,"Cupibøøt,Compokast,LOCO,CompoCie-8,DCL8+,Middengroep Dames"
-1026538192251014745,20203508,1588,"Appøtus,Blikken en bløzen,Peddøls,Bøterglad"
8220136752834944753,20203737,1754,"Eerstejaars Dames 2016,Middengroep Dames 2017,Bløb"
-752543555651991680,20203621,1626,"DCl8+,Eerstejaars Dames 2017,Bløb,Kanthari,Annemieke,Middengroep Dames,Eerstejaars Dames"
1463628203490327532,20203931,1959,"Haringdrøøm,Eerstejaars Dames 2017,Middengroep Dames,Bløb,Eerstejaars Dames"
-6723151773451845371,20113013,2,"Laffe Hazen,Immer gerade waus,Soppende Hazen"
-6671067816905482766,19773001,1126,
1838121345467628931,19943015,28,
-2749233192548626220,20203439,1344,"Clubacht Dames 2015,Dangerous 2.0,Eerstejaars Dames 2017,Middengroep Dames,Bløb,Eerstejaars Dames"
